id;title;description;techer_name;price;location;duration
1;sometimes and;infatuated;overcooked;11825;married;2036
2;easily;of consequently;drat;8480;tragic voluntarily;10508
3;bitterly;black;dreamily;14315;crisp whether hence;27775
4;appropriate too;tomatillo;almost within;21756;knowingly;6325
5;entrap healthily;bull-fighter inasmuch;trailpatrol blaring;15160;crossly;25334
6;deeply;zowie;perpetrate;13239;slope why;25865
7;geez;greedily;annual boo;5189;mushy hence;216
8;ack warmly even;quarrelsome;past bird-watcher;25922;partially;29966
9;representation instantly;brilliant hopeful or;attractive;15961;gadzooks miniature naturally;17826
10;quarrelsomely yahoo considering;gullible cultured;who;25584;animal cautiously;19803
